title,lyrics,artist
Tu Aake Dekhle,"Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye

Log kehte bechara
Zara pucho to kyu hara?
Jab pyaar mila nahi to dil ka katal kar naam bana daala
Ye jhoomta awara
Kaise jeeta chala jara?
Bekhauf nigaah meri jhaank ke dekho Taj bana raha
Par tere aage kuch bhi nahi sab khaakh baraabar
Main kho jaunga mil ke mujhse baat kara kar
Par tere aage kuch bhi nahi sab khaakh baraabar
Main kho jaunga mil ke mujhse baat kara kar

Ke tu meri aankho mein
Hai poori jachti
Aur tere aage meri nahi ek chalti
Ye duniya wale
Nikaale na kami
Main apne uppar lelu teri saari galti
Aur mit jayenge ye faasle
Bann jayenge naye kafile
Hey hey hey, Hey hey hey
Hey hey hey
You might also like
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye

Log kehte mujhko galat
Main rakhta teri talab
Par kya karun teri tasveeron ko dekhke uthti tadap
Main rokta khudko nahi
Aasun aa jaate hain
Main vo nahi jo karun pyaar kisi se bhi naam ka rakhke farak
Bas mere aage apni hi tu baat kara kar
Dil dukh na jaye mera thoda dhyan rakha kar
Bas mere aage apni hi tu baat kara kar
Dil dukh na jaye mera thoda dhyan rakha kar

Ke Tu meri yaadon mein
Hai poori basti
Aur tere siwa koi acha lagta nahi
Ye duniya wale
Nikaale na kami
Main apne uppar lelu teri saari galti
Aur mit jayenge ye faasle
Bann jayenge naye kafile
Hey hey hey, Hey hey hey
Hey hey hey
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye1",King
Maan Meri Jaan,"Main teri aankho mein udaasi kabhi dekh sakda nai
Tujhe khush main rakhunga soneya
Main tere hotho pe khamoshi kabhi dekh sakda nai
Sari baatein main sununga soneya
Tere dil se na, kabhi khelunga
Saare raaz apne, mai tujhko de dunga
Meri jaan tune mujhko pagal hai kiya
Mera lagda na jiya
Tere bager

Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni baahon mein chhupa ke rakhunga
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni aankho mein basake rakhunga
Tu maan meri jaan
Tu maan meri jaan
Tu maan meri jaan

Main saya banke saath tere rehna 24 ghantey
Main rеhna 24 ghantey
(Tere bina dil lagda nai)
Main aankhon sе churalu jana tere jo bhi ghum the
Haye Tere jo bhi ghum the
(Tere bina dil lagda nai)
Meri baahon me aake tu jana nahi
Esi rabb se main maangu duaa
Tere dil se na, kabhi khelunga
Sare raaz apne,mai tujhko de dunga
Meri jaan tune mujhko pagal hai kiya
Mera lagda na jiya
Tere bager
You might also like
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni baahon mein chhupa ke rakhunga
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni aankho mein basake rakhunga
Tu maan meri jaan
Tu maan meri jaan
Tu maan meri jaan
Maan, meri jaan
Tu maan meri jaan",King
EKTARFA,"Tu Firse paas aa main zidd nahi karunga
Tu Firse door ja main kuch nahi kahunga
Jo tere jaane se mein betha hun mekhane mein
Mein kha chuka hun dhoka peene se nahi marunga
Jo tujhse seekha hu, tujh hi pe to likhunga
Jo tujhko chahunga, tujh hi pe to mitunga
Jo haske aunga main fir se tere samne
Hu napasand bta diyo main fir nahi dikhunga
Maine dekha tujhme saadgi rahi nahi
Maine dekha tune koshishe bohot kari
Kehe jo tujhko apne hatho se saja dun
Hai kami tu pehne bohot fir bhi lagta kyu saji nahi
Aaj bhi aise dekhe mene dayere nahi
Kе tujhse baantlun mein khudko kehdun aa rahе nahi
Hai tujhse milne
Bewafa hi the jo haske keh diya
Ke hum bhi dhokhe kha rahe nahi
Jo firse dekha meri ruk chali kalam thi
Dil dhadakta,aankhen bheegi
Baatein tang thijo tujhko socha mera poora ek janam thi
Jab tujhko dekha kisi or ki sanam thi
Dil to dukhta hai par jeena padhta hi hai
Suraj se chaand bhi akele ladhta hi hai
Main kitna bhoolun kissa tera adta hi hai
Jo kardein fasla to pyaar badta hi hai
You might also like
Gaane to chal rahe par baat teri meri hai
Chirag bujh gaye par raat teri meri hai
Hua vo ek na jo sath janam ka wada tha
To iss sadi main jana kya aukat teri meri hai?
Mana main sab hi kuch jeeta kuch bhi hara na
Par jisko hara usko dekha fir dobara na
Jo dhas gaya hun jaake raet mein main aankhon tak
Tu hai samundar mujhpe boond ka sahara na
Na mujhse puch mere haal kya sitaro ka
Na dum tu kha ye aake noto ki deewaro ka
,hai paisa kya tu chhoti baatein na kiya kar
Main bss pyar se gareeb
Mujhko mol na hazaro ka
Jo mujhse puch le tu rasta baharon ka
To haske kehdu tu nazara meri aankho ka
Main jisko kosne chala hun uska naam yaad fir bhi likh na pana dosh kaam hai gawaro ka

Jo tujhko dekha asma mein chand tha nai
Kahi pe chupp gaya ke kehta lagta nahi
Isse haseen mene dekha kahi kuch ke log yu hi likhte rehte mujhpe aye khuda mein chand nahi
Ye tere reshmi jo baal jaal sazi hai
Mara nahi par jeete ji tu meri fasi hai
Daba nahi gala kyu sanse meri ghut rahi
Main kya hi du saza ja teri har saza hi maafi hai
Mujhe khabar nahi tu kis zuban mein razi hai
Dikhe asar nahi tu kis dua mein baaki hai
Agar kabhi main tere samne se guzru
Mujhko mil tu ya nahi par teri ek nazar hi kaafi hai
Ektarfa main naam bhi bana lunga
Ektarfa mein naam bhi chhupa lunga
Ek arsa jo beete teri yaado mein
Main hoke mashhoor tujhpe zindagi lutadunga",King
T A A L I Y A A N,"Bewajah baato pe to sab hass jaatein hai
Akela ladhta hu taaliya bajate hai
Na kyu ye darta sab ye janna chahte hai
Par kyu me ladta na ye janna chahte hai
Paisa to hai bss bharose ki dikkat
Keh to diya mene do line likhkr
Par jab koi guzare bure haal se
To use puch kese bhai bachti hai izzat?
Ye duniya loot leti sab tera
Jo kuch bache tere paas vo hai rub tera
Tu maang usi se vo laade esa pal tera
Ke hath jispe rakhe vo hoje sab tera
Ye mera!!
Wada hai tujhse jigra rakh hath me
Adhi janta kha jayega dum rakh baat me
Jo tere hai bss vahi rahenge sath me
Baaki to bandi tu khareed hi lega baad me
Zaman jali hai ye bhi muje pata
Bina paiso ke vo b deti nahi maza
Kami nahi eso ki jo dete ho vajah
Beech wali ungli me pehle du saja
Meri kami na nikaala karo din bhar
Udhta note kabhi na rakhu me ginkar
Esa nahi hai mene mehnate nahi ki
Bss jeene ka hai shaq maru na me din ginkar
Gir gir kar
Chadunga mana inch bhar
Pohchunga zaroor
Lele mujhse likh kar
Jo yahi dikh re be kya ukhada dikhkr
Meri pi hui desi bhi lagti unhe liquor
Sunn Sunn kissa bhand mera
Vo puchi King rakhta tu kyu ghamand tera
Me bola chidiyo tu na tujhse zada hasinaye
Aake maange baby dedo mujhe.......
Sange tera!!
Tu bann mera!!
Me dungi pyaar aake jaha bhi tu bole mann tera!!
Vasant yera!!
Oyo yera!!
Gurgaon tera!!
Ni to jab mera ghar khaali aake daal dera!!
Muje rang chadha tera esa hat-ta nahi
Muje rani banake kyu baby rakhta nahi
Tera raja ese mazako pe hasta nahi
Tere muh pe bolu sach baby lagta nahi
Tu mera sath degi....
Tu din raat degi....
Agar firse ye karliya pyaar
Tu bhi pehli wali ki hi tarah haar degi
Tu mujhe maar degi....
Na koi karaar degi....
Tu bhi reh meri unho me se ek....
Jaha din me tu miss call 4 degi
You might also like
Me koi alag ni jo dekhta alag se
Ye duniya mujhe dekhe bade shaq se
Me 22 ka par kaand hai galat se
King rocco kese aya me na jaanu kabse?
Me har baat yuhi boltdunga haq se
Jo mujhe sunte hai vo pesh aate adab se
Or rahi baat jiska dhoondhe tu jawab
Tu fir mujhse kar baat me baatein seedha rub se
Mere maathe pe zara si bhi shikand nahi
Tora dekho to kabhi lagega kam nahi
Likhe to sab par mere jesa bumb nahi
Ye line platinum par fir bhi ghamand nahi
Khali bakchodi muje bhi pasand nahi
Abhi to sab sach hoga koi bharam nahi
Jo tera yo yo karlega mujhe sign
Tubhi call kar puchega bhai kese line sach kari
Too much kari
I ain’t got no worries
Me na kisi se friend zone
Na kisi ka hubby
Me thoda logo ke mahaul me ajnabi
Mila jo fitrat se to thodi chot lagi
Toota hai dil to hua hai thoda dard
Suna hai ese hi to banta hai mard
Me jobhi bolunga bato bato me baat ye bhi usi ke liye hai jiske liye tha Arz
Ye baatein jese ashiqui ka koi marz
Dawa bhi dunga Album aari hai jald
Vajah na dunga kesa bita mera pal
Me aj panno pe likh ra hu mera kal
Tu mujhse cheete thoda door hoke chal
Kitne ghaseete mene gine nahi parr
Bani misaal teri bandi me bawaal
Mere naam ka ho jaye to fir chidiyo na kal
Mere hatho se kamaal hona chhoot-ta nai
Me du jawab to sawal kabhi rooth-ta nai
Ye tera raja wafa khake kabhi thhookta nai
Me khud khushi baantu me kisi ki loot-ta nai
Ye gana jisne chala liya
Thodi der chalo apna bana liya
Me is khushi mare pagal na ho jau
Mera dil rakhne ke liye baja dena
Taaliyaan",King
IICONIC,"Kehnde har gaana hit munda iiconic
Dedo jeshi vi nazam Raja ride on it
If you the fucking prize all my eyes on it
I'm coming for you!!

Jab jigar jale tab tab aankho me aag uthe
Jab shikhar chadhe tab ek ko dekhke lakh jute
Jab kadar kare meri ruh to ye jazbaat lute
Raja shabdo ki keech se jab bhi uthe bedaag uthe!
Woohh!!
Mat neeche karo camera
Mujhko dekhne do
Nahi milte zameen pe taare aise dekhne ko
Mera sab gaa do tum
Bss mujhko dekhne do
Ro dun na kahin bada tarsa ye manzar dekhne ko
Jab jata tha studio 500 rupey leke jeb mein
Har ek gaane ko 25 mint me record ese 4 kiye ek take mein
Mana jeb me nahi tha mere paise fir bhi dhyaan rakha tha meine sapne ka
Maine seekh liya tha hunar kayi dard ko dil m daba ke hi rakhne ka
Mujhe pata nahi kya hoti mehnat
Kis baat se rehlu khafa
Jab dil se karoge safar
Har pal ka bhi hoga apna maza
Aj main lakhon kamata hun sochke
Mere apno ki hai dua
Jo kabhi bhookh lage mere apne ko
Ya kabhi chahiye ho dawa
To unko dekhna na pade duniya ko
Ke paisa kisi ka na hua
Bs unko khada mile ye King ke badle me fir se dena dua
Ye mujhpe diss likhne chale jo
Unke liye bhi maangu dua
Ke bss khush rahe tere maa baap aur ghar pe
Khana rakha hua
You might also like
Kehne ko to main baate dus kehdu kisi ki bezzati par
Par esa naam bhi kya saala jo kisi ko neecha dikhaakr bane
Aur karta hu dil se dil tak sari baat kyu
Kyuki duniya bann ke mit'ti hai
Aur hum khud ko mita kar bane!

Kehnde har gaana hit munda iiconic
Dedo jaisi bhi nazam Raja ride on it
If you the fucking prize all my eyes on it
I'm coming for you!!

Ehh!!
Nahi jalta kisi se meri khud se khud ki ladayi
Main har baar le aaunga hit mere haatho mein faili haq ki sihaai
Main dil-e-haal sunadunga laakhon diloko mene jitni izzat kamai
Ye sab diya hua tum logo ka ke maine hai sirf nazme banai
Maine ..
Chhoda nahi kuch bhi main kar chuka sab kuch
Maanga nahi kuch bhi main jeeta padha sab kuch
Kitno ki aankhon mein bann gaya kal
Mera bita hua kal
Mujhe chahe tum kuch nahi
Saja ke do
Mita ke do
Bana ke lo
Nafa na ho..naam ye badal dena
Wafah na ho
Silah bura
Nashe mein jo
Maza na ho..jam ye badal dena
Woohh...
Kehnde har gaana hit munda iiconic
Dedo jaisi bhi nazam Raja ride on it
If you the fucking prize all my eyes on it
I'm coming for you!!",King
Let The Eyes Talk,"Tere chehre ko
Meri aankho mein
Aaj rehne de
Kuch kehne de

Tu bhi aankho se kabhi
Baatein karti nahi
Ho Tu bhi aankho se kabhi
Baatein karti nahi
Ho kabhi meri dhun tu lagake nachle
Ho kabhi mujhe apna bana ke rakh le
Ho kabhi meri dhun tu lagake nachle
Toh kabhi mujhe apna bana ke rakh le

Waqt mile mujhe kabhi sunn jana
Jazbaat hain ye nazam bahana
Sach baat hai ye main tera deewana
Aur darta nahi...
Main duniya walon se thoda alag meri jaan
Na tere liye sochta galat meri jaan
Jo Tere sang dekha maine ek sapna
Bas tera mera sath rahe dil dukhe na
You might also like
Mujhe kuch ni lena hai is duniya se
Tu aake duniya bana meri
Jo kahe kadmo pe rakh dunga tere
Tu aake bas banja meri

Par tu aankho se kabhi
Baatein karti nahi
Ho tu bhi aankho se kabhi
Baatein karti nahi
Ho kabhi meri dhun tu lagake nachle
Ho kabhi mujhe apna bana ke rakh le
Ho kabhi meri dhun tu lagake nachle
Toh kabhi mujhe apna bana ke rakh le

Log kehte tere bina change haal mere
Tora lit poora mauj saalon saal le rahe
Tanha raaton mein likhte fasaane
Par too sunti nahi
Kyu aisa karti ho mere sath meri jaan
Ye tere liye rakha dil saaf meri jaan
Jo tere sang dekha maine ek sapna
Aisa pyar rahe duriya bhi chube na!
Mujhe kuch ni lena hai is duniya se
Tu aake duniya bana meri
Jo kahe kadmo pe rakh dunga tere
Tu aake bas banja meri

Par tu aankho se kabhi
Baatein karti nahi
Ho tu bhi aankho se kabhi
Baatein karti nahi
Ho kabhi meri dhun tu lagake nachle
Ho kabhi mujhe apna bana ke rakh le
Ho kabhi meri dhun tu lagake nachle
Toh kabhi mujhe apna bana ke rakh le

Tere chehre ko
Meri aankho mein
Aaj rehne de
Kuch kehne de",King
90s,"I feel nobody without me
I feel nobody without me
I feel nobody without me
I just need myself!

We feel like 90s
Jawaan hai saare
Aankhon mein duniya sajaa rahe
Kehna kya chah rahe
Ye na bata paa rahe
Aur koi bhi samjha nahi
We feel like 90s
Jawaan hai saare
Aankhon mein duniya sajaa rahe
Kehna kya chah rahe
Ye na bata paa rahe
Aur koi bhi samjha nahi
Ya shayad meri hi hai saari galti
Jo aaj tak koi mujhe samjha nahi
Logo se hain duriyaan bhi kaafi karli
Aur sach maano maine koi galti na kari
You might also like
Koi kare baat dharam ki
To Koi kare baat bharam ki
To Koi tole jaat sanam ki
Main bas maanu baat karam ki
Soche raqam ye muft mili hai
Isliye jebein garam ki
Main kyun na bakun eso ko galiyan
Jo karte na baat marham ki
Fuck diss! chahe mat kahna lyrically great
Bas itna hi gaana log karein jo relate
Bas itna kamana roj karun celebrate
Bas itna hi khana mera bhar jaye pet
Roti nafrat se kamai nahi
Jalan meri maa ne sikhai nahi
Maine akkal se paisa kamaya
Paise se akkal ye kamai nahi

(I feel nobody without me) We feel like 90s
(I feel nobody without me) We feel like 90s
(I feel nobody without me) We feel like 90s
I just need myself!
We feel like 90s
Jawaan hai saare
Aankhon mein duniya sajaa rahe
Kehna kya chah rahe
Ye na bata paa rahe
Aur koi bhi samjha nahi
We feel like 90s
Jawaan hai saare
Aankhon mein duniya sajaa rahe
Kehna kya chah rahe
Ye na bata paa rahe
Aur koi bhi samjha nahi
Ya shayad meri hi hai saari galti
Jo aaj tak koi mujhe samjha nahi
Logo se hain duriyaan bhi kaafi karli
Aur sach maano maine koi galti na kari

Jab bhi karun,main dil ki baat
Sab kehte ""Samajh Gaye""!
Par koi samajhta nai..
Jab bhi karu bite kal ko yaad
Jhuth kahun ajtak ek aansu bhi jhalka nai
Jhuth bolta hun kabhi kabhi khud se ke
Naam ko dekhke duniya nai aati hai
Jab janta hun sab hain galat
Meri jaan alag se tu kya banna chahti hai?
Woah!!! ddd
I'm not making me to look right
But i'm taking you to best ride
Jahan saare hum khushnuma dikhte hain
Ghar wale bhi ye nahi jante hum karein fight
Kabhi khudse - Kabhi is duniya se
Dukh mile jitna hum kehte it's all right
Kahi ghar wale kose na kehke ke sab kuch free hai like we have never paid a price

(I feel nobody without me) We feel like 90s
(I feel nobody without me) We feel like 90s
(I feel nobody without me) We feel like 90s
I just need myself!

We feel like 90s
Jawaan hai saare
Aankhon mein duniya sajaa rahe
Kehna kya chah rahe
Ye na bata paa rahe
Aur koi bhi samjha nahi
We feel like 90s
Jawaan hai saare
Aankhon mein duniya sajaa rahe
Kehna kya chah rahe
Ye na bata paa rahe
Aur koi bhi samjha nahi
Ya shayad meri hi hai saari galti
Jo aaj tak koi mujhe samjha nahi
Logo se hain duriyaan bhi kaafi karli
Aur sach maano maine koi galti na kari",King
OOPS,"Yeah, yeah
You already know what it is
Okay

Main dhoondhu tujhe har jagah har jagah
Kahan chhupke tu baithi zara de bata
Aayi bhar ke jawaani tere body mein
Ya to mere ghar aja ya to dede tera pata
Karenge hum zyada kuch nahi baby
Bas thoda thoda hint mein dedu bta
Aag lag jaani jaan ke jaan tu jaan se badkar meri

Main thoda teri aankhon pe marr gaya (Marr gaya)
Main thoda teri baaton pe marr gaya (Marr gaya)
Tu thoda thoda move hui jo (Okay)
To sara mera jaam bikhar gaya
Oops!
Main thoda teri aankhon pe marr gaya (Marr gaya)
Main thoda teri baaton pe marr gaya (Marr gaya)
Tu thoda thoda move hui jo (Okay)
To sara mera jaam bikhar gaya
Oops!
You might also like
Aayi banke tu maut ka samaan
Tere peeche matter ho gaye meri jaan
Maine bhi maangi ek wish kibba karke finish
Tere saath guzaarun ek shaam
Chal aane de aane de
Phone tere daddy ka aane de aane de
Meri nayi saaliyon ko jaane de jaane de
Jaake uncle ko bataane de taane de
Main kal hi mila hun teri mummy se chok pe
Mauke pe chauka bhi maare hain shok se
Kehti hain baat hazam nahi hori pasand tujhe ladki mein aya meri kya?

Main bola teri aankhon pe marr gaya (Marr gaya)
Main bola teri baaton pe marr gaya (Marr gaya)
Tu thoda thoda move hui jo (Okay)
To sara mera jaam bikhar gaya
Oops!
Main thoda teri aankhon pe marr gaya (Marr gaya)
Main thoda teri baaton pe marr gaya (Marr gaya)
Tu thoda thoda move hui jo (Okay)
To sara mera jaam bikhar gaya
Oops!
Ayee, main apni hi marzi ki maalik hun
Mere baare abhi kuchh bhi na jaane tu
Mere pyaare itihaas nikaal ke dekh main cheez hun kya?
Mujhe Call aya jiska vo daddy nahi ex tha
Baby vapas ajao uska hi text tha
Vaise main faltu ki baatein ni sunti
Par jitna bhi kaha tune sab kuch best (Best hai)
Main bhi kal hi mili hun teri mummy se chok pe
Mauke pe chauka bhi maare hain shok se
Kehti hain baat hazam nahi hori pasand tujhe ladke mein aya mere kya?

Main boli teri aankhon pe marr gayi (Marr gayi)
Main boli teri baaton pe marr gayi (Marr gayi)
Tu thoda thoda accha laga jo
Main tujhpe hi poori bikhar gayi
Oops!
Main thoda teri aankhon pe marr gayi (Marr gayi)
Main thoda teri baaton pe marr gayi (Marr gayi)
Tu thoda thoda accha laga jo (Okay)
Main tujhpe hi poori bikhar gayi
Oops!
Main thoda teri aankhon pe marr gaya (Marr gaya)
Main thoda teri baaton pe marr gaya (Marr gaya)
Tu thoda thoda move hui jo (Okay)
To sara mera jaam bikhar gaya
Oops!
Main thoda teri aankhon pe–
Main thoda teri baaton pe–
Tu thoda thoda mujhpe hi
Toh saara mera (Haa, haa)
Oops!",King
Desi Dan Bilzerian,"Jo jante ni unko bhi lagun familiar
Bana main shaq se ni beshaq kahunga clear
Main maal fook’ke na likhun ye budhhi tezz itni
Albumein bana ke fekun ek below na million
Main mauj kaatu jaise Desi Dan Bilzerian
Jo khaate khar saale baithe aj pavilion
Kal hi shaam esi bandi se mila tha jiska naam peeche kaur par vibe thi Brazilian

Khelein hum aag aur khelte hum raag se
Ye bachhe kitne bhi bade - bade na baap se
Main naam rashi esi rakhke ghumta hun
Bande kehte kaam karne ka tareeka seekhe apse!
Haan khulla khaana
Khud kamana
Khulke jeena
Jinse milta
Sab haseena
Jaise ghumta bahaaron mein
Haan hun kamina
Par nageena
Leke ghumu
Har mahina
Poora saal jaise jeeta hun tyohaaron mein
Haan thoda papi
Main gaali deta kaafi
Par zindagi mein badne ke liye kabhi na chaati
Teen button se bahar chhati
Shine maare proud se
Aur bhaichara rakhe na karte dekhke hum jaati
Halla kaate poora hum jhund se dara na karte
Kare fatey poori adhuri jung lada na karte
Aagaz maar de ajaam se jo pehle
Hum vo kaal beta jinke haath roshini dhara na karte
Khada ghamand hua to baat kyun baithate ho?
Kamzor dekhke hi haath kyun uthaate ho?
Akele mod di kalai aflatoono ki to duniya humse kehti itna kehke kyu jataate ho?
Jo raaz rakhle aisa raaz kisse raazi hai?
Main haar ke bhi jeeta kheli aisi baazi hai
Ye Sach pasand nahi to kaan apne karlo band
Main dheere dheere faadu beta konsi jald baazi hai
Aankhe band karke bhi main dekhun duniya ko ye duniya gero se bhi zada apno se mari hui
Muthhi khol ke main kya hi lunga apno se jo apno ki hi aankhein mere chehre se jali hui
Mere haath dono baandh doge jhuthe ilzaamo se to maan lunga gero ke tum saath ho
Magar Har baat ka jawab deta hai ye waqt
Meri baatein kadwi ya tum kitne dil ke saaf ho
Aaj bhi shikand na maathe pe tum dekhoge
Chahe khada akele chaahe kitne piche waar ho
Bhale manzoor na ho dushmano se haarna
Par dil ke tukde hote hain jab dushmano me
Yaar ho!
Ek din jab pata chalega sach to paer zameenein chhod denge aankhein khud se ruth jayegi
Hum to bethe honge pohoch se bhi door bekhabar tab jaani kadwi hi ye baatein tumko khayengi
Apna kya hai hum to bande hi hain mood ke
Jaha milega pyaar hum vahi pe dil lootayenge
Humse kya hi paaoge tum dil dukhaake
Hum to iski bhi nazam banaake pyaar loot jayenge
Teen nashe the pyaare ek aur judh gaya hai
Tarrakki kehti raja mujhko leke udh gaya hai
Kehti pakad me main na aati ache acho ke
Par tujhme aisa kya hai mera poora dhyaan mudh gaya hai
Ab kehti haar ka jua bhi jeetega
Main likh ke deti hun zamana tere liye ruk gaya hai
Agar pata chale farak to marz kosega
Main kya hun dava tu khud zeher jo peeke uth gaya hai
You might also like
Jo jante ni unko bhi lagun familiar
Bana main shaq se ni beshaq kahunga clear
Main maal fook’ke na likhun ye budhhi tezz itni
Albumein bana ke fekun ek below na million
Main mauj kaatu jaise Desi Dan Bilzerian
Jo khaate khar saale baithe aj pavilion
Kal hi shaam esi bandi se mila tha jiska naam peeche kaur par vibe thi Brazilian",King
No Loss,"
New life no loss, King

जो तूने मुझे प्यार ना करा (कोई नहीं)
तेरा नया यार भी बना (कोई नहीं)
अकेला था अकेला रहा (कोई नहीं)
आज जो मैं star बना (तू सोयी नहीं)

Main lenda rehnda ashiqaan de naal panga
Tetho jada dushmanna da saath changa
Tetho jada mere naal loyal rave
Main devilaan de naal bekhe kara dhanda

दिल में ज़हर भरा, मुँह पे मेहरबानी क्यों?
जो है तू नइ, वोही बनके दिखानी क्यों?
Inni jaldi jana taali b ni baji
Jinni jaldi चार चिल्लर बजे बिक गई जवानी यूँ
मेरे फासले भी ज़माने से कम नहीं है
और तू भी कह गयी मुझे बोलने का ढंग नहीं है
था कसूर मेरा इतना मैं झुका नी
वो होती self respect जाना वो घमंड नहीं है
You might also like
जो तूने मुझे प्यार ना करा (कोई नहीं)
तेरा नया यार भी बना (कोई नहीं)
अकेला था अकेला रहा (कोई नहीं)
आज जो मैं star बना (तू सोयी नहीं)

Main lenda rehnda ashiqaan de naal panga
Tetho jada dushmanna da saath changa
Tetho jada mere naal loyal rave
Main devilaan de naal bekhe kara dhanda

मैं दिल देखूं, तुम क्यूँ लम्बी car देखो?
मुंह उठा के ज़रा गलियों के बाहर देखो
तुम ग़लत नी जो फिर एक राज़ कहो
कामयाबी से पहले क्यूँ काबिलों की हार देखो
जो दिखे मुझे दुःख के वक़्त नहीं
अब बोले मुझे, ""जताता क्यूँ हक़ नहीं?""
वोह एक एक बंदा धोखेबाज़ है
मुझे सब पे यकीन मुझे किसी पे भी शक नहीं
मैं बातें रख लूँ
बिना कुछ कहते हुये जिन लोगों की
इस साल career जो ख़तम मैं
फिकर करता हूँ ऐसे लोगो की
मुझे ऐसे बन्दे बाहर ना मिलें
दुआ करो हम भाई चार ना मिलें
तोड़ने चले थे परिवार उनकी छाती
भर दी पीतल से कोई ऐसा अखबार ना मिले

Main lenda rehnda ashiqaan de naal panga
Tetho jada dushmanna da saath changa
Tetho jada mere naal loyal rave
Main devilaan de naal bekhe kara dhanda

असली मर्द नइ जो चढ़ता हो कँधों पे
असली नज़रें ना मिलें ऐसे अन्धो पे
मेरे लफ़्ज़ों की कीमत बोहत
Raja लिखे जज़्बात Raja लिखता नी बन्दों पे
I am a fuckin' rockstar and I don't need to prove
TV पे सारे hit मारे देश करा groove
अभी तो legends से है पहले नो loss
Million cross यह भी hit मारा होगी breaking news",King
