artist,title,verse
King,Tu Aake Dekhle,"Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye
Tu aake dekh le
kitni saari
me guzaari soniye
Soniye"
King,Tu Aake Dekhle,"Log kehte bechara
to kyu hara?
Jab pyaar mila nahi to dil ka katal kar naam bana daala
Ye jhoomta awara
Kaise jeeta chala jara?
Bekhauf nigaah meri jhaank ke dekho Taj bana raha
Par tere aage kuch bhi nahi sab khaakh baraabar
Main kho jaunga mil ke mujhse baat kara kar
Par tere aage kuch bhi nahi sab khaakh baraabar
Main kho jaunga mil ke mujhse baat kara kar"
King,Tu Aake Dekhle,"Ke tu meri aankho mein
Hai poori jachti
Aur tere aage meri nahi ek chalti
Ye duniya wale
Nikaale na kami
Main apne uppar lelu teri saari galti
Aur mit jayenge ye faasle
Bann jayenge naye kafile
Hey hey hey, Hey hey hey
Hey hey hey
You might also like
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye"
King,Tu Aake Dekhle,"Log kehte mujhko galat
Main rakhta teri talab
Par kya karun teri tasveeron ko dekhke uthti tadap
Main rokta khudko nahi
Aasun aa jaate hain
Main vo nahi jo karun pyaar kisi se bhi naam ka rakhke farak
Bas mere aage apni hi tu baat kara kar
Dil dukh na jaye mera thoda dhyan rakha kar
Bas mere aage apni hi tu baat kara kar
Dil dukh na jaye mera thoda dhyan rakha kar"
King,Tu Aake Dekhle,"Ke Tu meri yaadon mein
Hai poori basti
Aur tere siwa koi acha lagta nahi
Ye duniya wale
Nikaale na kami
Main apne uppar lelu teri saari galti
Aur mit jayenge ye faasle
Bann jayenge naye kafile
Hey hey hey, Hey hey hey
Hey hey hey
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye
Tu aake dekh le
Ho maine raatein kitni saari
Teri yaadon me guzaari soniye
Soniye1"
King,Maan Meri Jaan,"Main teri aankho mein udaasi kabhi dekh sakda nai
Tujhe khush main rakhunga soneya
Main tere hotho pe khamoshi kabhi dekh sakda nai
Sari baatein main sununga soneya
Tere dil se na, kabhi khelunga
Saare raaz apne, mai tujhko de dunga
Meri jaan tune mujhko pagal hai kiya
Mera lagda na jiya
Tere bager"
King,Maan Meri Jaan,"Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni baahon mein chhupa ke rakhunga
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni aankho mein basake rakhunga
Tu maan meri jaan
Tu maan meri jaan
Tu maan meri jaan"
King,Maan Meri Jaan,"Main saya banke saath tere rehna 24 ghantey
Main 24 ghantey
(Tere bina dil lagda nai)
Main aankhon churalu jana tere jo bhi ghum the
Haye Tere jo bhi ghum the
(Tere bina dil lagda nai)
Meri baahon me aake tu jana nahi
Esi rabb se main maangu duaa
Tere dil se na, kabhi khelunga
Sare raaz apne,mai tujhko de dunga
Meri jaan tune mujhko pagal hai kiya
Mera lagda na jiya
Tere bager
You might also like
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni baahon mein chhupa ke rakhunga
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni aankho mein basake rakhunga
Tu maan meri jaan
Tu maan meri jaan
Tu maan meri jaan
Maan, meri jaan
Tu maan meri jaan"
King,EKTARFA,"Tu Firse paas aa main zidd nahi karunga
Tu Firse door ja main kuch nahi kahunga
Jo tere jaane se mein betha hun mekhane mein
Mein kha chuka hun dhoka peene se nahi marunga
Jo tujhse seekha hu, tujh hi pe to likhunga
Jo tujhko chahunga, tujh hi pe to mitunga
Jo haske aunga main fir se tere samne
Hu napasand bta diyo main fir nahi dikhunga
Maine dekha tujhme saadgi rahi nahi
Maine dekha tune koshishe bohot kari
Kehe jo tujhko apne hatho se saja dun
Hai kami tu pehne bohot fir bhi lagta kyu saji nahi
Aaj bhi aise dekhe mene dayere nahi
tujhse baantlun mein khudko kehdun aa nahi
Hai tujhse milne
Bewafa hi the jo haske keh diya
Ke hum bhi dhokhe kha rahe nahi
Jo firse dekha meri ruk chali kalam thi
Dil dhadakta,aankhen bheegi
Baatein tang thijo tujhko socha mera poora ek janam thi
Jab tujhko dekha kisi or ki sanam thi
Dil to dukhta hai par jeena padhta hi hai
Suraj se chaand bhi akele ladhta hi hai
Main kitna bhoolun kissa tera adta hi hai
Jo kardein fasla to pyaar badta hi hai
You might also like
Gaane to chal rahe par baat teri meri hai
Chirag bujh gaye par raat teri meri hai
Hua vo ek na jo sath janam ka wada tha
To iss sadi main jana kya aukat teri meri hai?
Mana main sab hi kuch jeeta kuch bhi hara na
Par jisko hara usko dekha fir dobara na
Jo dhas gaya hun jaake raet mein main aankhon tak
Tu hai samundar mujhpe boond ka sahara na
Na mujhse puch mere haal kya sitaro ka
Na dum tu kha ye aake noto ki deewaro ka
,hai paisa kya tu chhoti baatein na kiya kar
Main bss pyar se gareeb
Mujhko mol na hazaro ka
Jo mujhse puch le tu rasta baharon ka
To haske kehdu tu nazara meri aankho ka
Main jisko kosne chala hun uska naam yaad fir bhi likh na pana dosh kaam hai gawaro ka"
King,EKTARFA,"Jo tujhko dekha asma mein chand tha nai
Kahi pe chupp gaya ke kehta lagta nahi
Isse haseen mene dekha kahi kuch ke log yu hi likhte rehte mujhpe aye khuda mein chand nahi
Ye tere reshmi jo baal jaal sazi hai
Mara nahi par jeete ji tu meri fasi hai
Daba nahi gala kyu sanse meri ghut rahi
Main kya hi du saza ja teri har saza hi maafi hai
Mujhe khabar nahi tu kis zuban mein razi hai
Dikhe asar nahi tu kis dua mein baaki hai
Agar kabhi main tere samne se guzru
Mujhko mil tu ya nahi par teri ek nazar hi kaafi hai
Ektarfa main naam bhi bana lunga
Ektarfa mein naam bhi chhupa lunga
Ek arsa jo beete teri yaado mein
Main hoke mashhoor tujhpe zindagi lutadunga"
